time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.010,sender1,0,0,0,0.936,-0.091,9.766,0.128,-0.042,0.003
2.011,sender2,0,0,0,,,,,,
2.013,sender2,0,0,0,,,,,,
2.015,sender2,0,0,0,,,,,,
2.038,sender2,0,0,0,,,,,,
2.375,sender2,0,0,0,,,,,,
2.707,sender2,0,0,0,,,,,,
2.833,sender2,0,0,0,,,,,,
2.959,sender2,0,0,0,,,,,,
3.084,sender2,0,0,0,,,,,,
3.210,sender2,0,0,0,,,,,,
3.336,sender2,0,0,0,,,,,,
3.459,sender2,0,0,0,,,,,,
3.587,sender2,0,0,0,,,,,,
3.711,sender2,0,0,0,,,,,,
3.838,sender2,0,0,0,,,,,,
3.969,sender2,0,0,0,,,,,,
4.089,sender2,0,0,0,,,,,,
4.215,sender2,0,0,0,,,,,,
4.340,sender2,0,0,0,,,,,,
4.466,sender2,0,0,0,,,,,,
4.582,sender2,0,0,0,,,,,,
4.716,sender2,0,0,0,,,,,,
4.832,sender2,0,0,0,,,,,,
4.967,sender2,0,0,0,,,,,,
5.084,sender2,0,0,0,,,,,,
5.216,sender2,0,0,0,,,,,,
5.338,sender2,0,0,0,,,,,,
5.489,sender2,0,0,0,,,,,,
5.703,sender2,0,0,0,,,,,,
6.025,sender2,0,0,0,,,,,,
6.369,sender2,0,0,0,,,,,,
6.689,sender2,0,0,0,,,,,,
6.826,sender2,0,0,0,,,,,,
6.949,sender2,0,0,0,,,,,,
7.082,sender2,0,0,0,,,,,,
7.199,sender2,0,0,0,,,,,,
7.330,sender2,0,0,0,,,,,,
7.454,sender2,0,0,0,,,,,,
7.582,sender2,0,0,0,,,,,,
7.700,sender2,0,0,0,,,,,,
7.835,sender2,0,0,0,,,,,,
7.949,sender2,0,0,0,,,,,,
8.076,sender2,0,0,0,,,,,,
8.199,sender2,0,0,0,,,,,,
8.335,sender2,0,0,0,,,,,,
8.449,sender2,0,0,0,,,,,,
8.576,sender2,0,0,0,,,,,,
8.716,sender2,0,0,0,,,,,,
8.837,sender2,0,0,0,,,,,,
8.949,sender2,0,0,0,,,,,,
9.076,sender2,0,0,0,,,,,,
9.214,sender2,0,0,0,,,,,,
9.337,sender2,0,0,0,,,,,,
9.483,sender2,0,0,0,,,,,,
9.687,sender2,0,0,0,,,,,,
10.024,sender2,0,0,0,,,,,,
10.357,sender2,0,0,0,,,,,,
10.482,sender2,0,0,0,,,,,,
10.608,sender2,0,0,0,,,,,,
10.736,sender2,0,0,0,,,,,,
10.858,sender2,0,0,0,,,,,,
10.985,sender2,0,0,0,,,,,,
11.099,sender2,0,0,0,,,,,,
11.235,sender2,0,0,0,,,,,,
11.354,sender2,0,0,0,,,,,,
11.483,sender2,0,0,1,,,,,,
11.598,sender2,0,0,1,,,,,,
11.741,sender2,0,0,1,,,,,,
11.866,sender2,0,0,1,,,,,,
11.989,sender2,0,0,1,,,,,,
12.116,sender2,0,0,1,,,,,,
12.239,sender2,0,0,1,,,,,,
12.373,sender2,0,0,0,,,,,,
12.539,sender2,0,0,0,,,,,,
12.750,sender2,0,0,0,,,,,,
13.073,sender2,0,0,0,,,,,,
13.383,sender2,0,1,0,,,,,,
13.729,sender2,0,1,0,,,,,,
14.071,sender2,0,0,0,,,,,,
14.391,sender2,0,0,0,,,,,,
14.720,sender2,0,0,0,,,,,,
15.061,sender2,1,0,0,,,,,,
15.398,sender2,1,0,0,,,,,,
15.729,sender2,0,0,0,,,,,,
15.856,sender2,0,0,0,,,,,,
15.982,sender2,0,0,0,,,,,,
16.108,sender2,0,0,0,,,,,,
16.231,sender2,0,0,0,,,,,,
16.358,sender2,0,0,0,,,,,,
16.483,sender2,0,0,0,,,,,,
16.614,sender2,0,0,0,,,,,,
16.736,sender2,0,0,0,,,,,,
16.862,sender2,0,0,0,,,,,,
16.982,sender2,0,0,0,,,,,,
17.111,sender2,0,0,0,,,,,,
17.238,sender2,0,0,0,,,,,,
17.366,sender2,0,0,0,,,,,,
17.492,sender2,0,0,0,,,,,,
17.615,sender2,0,0,0,,,,,,
17.741,sender2,0,0,0,,,,,,
17.866,sender2,0,0,0,,,,,,
17.992,sender2,0,0,0,,,,,,
18.118,sender2,0,0,0,,,,,,
18.242,sender2,0,0,0,,,,,,
18.368,sender2,0,0,0,,,,,,
18.728,sender2,0,0,0,,,,,,
