time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.008,sender1,0,0,0,0.927,-0.084,9.752,0.130,-0.040,0.003
2.010,sender2,0,0,0,,,,,,
2.012,sender2,0,0,0,,,,,,
2.015,sender2,0,0,0,,,,,,
2.016,sender2,0,0,0,,,,,,
2.017,sender2,0,0,0,,,,,,
2.066,sender2,0,0,0,,,,,,
2.194,sender2,0,0,0,,,,,,
2.314,sender2,0,0,0,,,,,,
2.448,sender2,0,0,0,,,,,,
2.574,sender2,0,0,0,,,,,,
2.699,sender2,0,0,0,,,,,,
2.814,sender2,0,0,0,,,,,,
2.950,sender2,0,0,0,,,,,,
3.077,sender2,0,0,0,,,,,,
3.198,sender2,0,0,0,,,,,,
3.315,sender2,0,0,0,,,,,,
3.447,sender2,0,0,0,,,,,,
3.566,sender2,0,0,0,,,,,,
3.697,sender2,0,0,0,,,,,,
3.831,sender2,0,0,0,,,,,,
3.949,sender2,0,0,0,,,,,,
4.081,sender2,0,0,0,,,,,,
4.207,sender2,0,0,0,,,,,,
4.330,sender2,0,0,0,,,,,,
4.464,sender2,0,0,0,,,,,,
4.681,sender2,0,0,0,,,,,,
5.014,sender2,0,0,0,,,,,,
5.341,sender2,0,0,0,,,,,,
5.692,sender2,0,0,0,,,,,,
6.028,sender2,0,0,0,,,,,,
6.357,sender2,0,0,0,,,,,,
6.690,sender2,0,0,0,,,,,,
7.013,sender2,0,0,0,,,,,,
7.351,sender2,0,0,0,,,,,,
7.686,sender2,0,0,0,,,,,,
8.026,sender2,0,0,0,,,,,,
8.148,sender2,0,0,0,,,,,,
8.262,sender2,0,0,0,,,,,,
8.403,sender2,0,0,0,,,,,,
8.527,sender2,0,0,0,,,,,,
8.652,sender2,0,0,0,,,,,,
8.780,sender2,0,0,0,,,,,,
8.906,sender2,0,0,0,,,,,,
9.028,sender2,0,0,0,,,,,,
9.153,sender2,0,0,0,,,,,,
9.282,sender2,0,0,0,,,,,,
9.398,sender2,0,0,0,,,,,,
9.533,sender2,0,0,0,,,,,,
9.654,sender2,0,0,0,,,,,,
9.783,sender2,0,0,0,,,,,,
9.910,sender2,0,0,0,,,,,,
10.035,sender2,0,0,0,,,,,,
10.161,sender2,0,0,0,,,,,,
10.286,sender2,0,0,0,,,,,,
10.398,sender2,0,0,0,,,,,,
10.698,sender2,0,0,0,,,,,,
11.027,sender2,0,0,0,,,,,,
11.375,sender2,0,0,0,,,,,,
11.690,sender2,0,0,0,,,,,,
12.034,sender2,0,0,0,,,,,,
12.371,sender2,0,0,0,,,,,,
12.704,sender2,0,0,0,,,,,,
13.037,sender2,0,0,0,,,,,,
13.365,sender2,0,0,0,,,,,,
13.698,sender2,0,0,0,,,,,,
13.818,sender1,0,0,0,0.946,-0.101,9.768,0.130,-0.041,0.004
13.948,sender1,0,0,0,0.907,-0.098,9.756,0.128,-0.041,0.004
