timestamp,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1763769380.5170102,sensor1,0,0,0,0.91,-0.079,9.749,0.128,-0.04,0.003
1763769380.518022,sensor1,0,0,0,0.893,-0.093,9.79,0.13,-0.042,0.003
1763769380.5200238,sensor1,0,0,0,0.934,-0.108,9.744,0.129,-0.041,0.003
1763769380.5200238,sensor1,0,0,0,0.905,-0.101,9.754,0.129,-0.041,0.002
1763769380.8509772,sensor1,0,0,0,0.91,-0.098,9.756,0.129,-0.042,0.005
1763769381.1851964,sensor1,0,0,0,0.883,-0.108,9.766,0.128,-0.042,0.004
1763769381.517373,sensor1,0,0,0,0.893,-0.115,9.754,0.129,-0.042,0.004
1763769381.8497436,sensor1,0,0,0,0.919,-0.113,9.761,0.129,-0.041,0.003
1763769382.1842017,sensor1,0,0,0,0.919,-0.086,9.761,0.129,-0.041,0.004
1763769382.5237744,sensor1,0,0,0,0.895,-0.108,9.749,0.128,-0.041,0.003
1763769382.86484,sensor1,0,0,0,0.886,-0.115,9.761,0.129,-0.041,0.003
1763769383.1808152,sensor1,0,0,0,0.883,-0.096,9.764,0.13,-0.041,0.004
1763769383.5244434,sensor1,0,0,0,0.917,-0.11,9.756,0.129,-0.041,0.003
1763769383.8541975,sensor1,0,0,0,0.883,-0.103,9.756,0.129,-0.042,0.003
1763769384.1868427,sensor1,0,0,0,0.919,-0.084,9.764,0.129,-0.041,0.004
1763769384.5391705,sensor1,0,0,0,0.888,-0.086,9.761,0.13,-0.041,0.005
1763769384.8568726,sensor1,0,0,0,0.898,-0.084,9.749,0.128,-0.041,0.005
1763769385.1816027,sensor1,0,0,0,0.907,-0.105,9.754,0.129,-0.041,0.004
1763769385.518287,sensor1,0,0,0,0.898,-0.117,9.752,0.128,-0.041,0.004
