timestamp,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1763770427.6703162,sensor1,0,0,0,0.895,-0.103,9.79,0.129,-0.041,0.003
1763770427.6703162,sensor1,0,0,0,0.881,-0.086,9.756,0.128,-0.041,0.004
1763770427.679231,sensor1,0,0,0,0.895,-0.105,9.737,0.128,-0.041,0.003
1763770427.6812289,sensor1,0,0,0,0.883,-0.105,9.749,0.128,-0.041,0.004
1763770427.9984255,sensor1,0,0,0,0.881,-0.103,9.787,0.127,-0.041,0.003
1763770428.3377745,sensor1,0,0,0,0.915,-0.081,9.728,0.129,-0.041,0.003
1763770428.6616092,sensor1,0,0,0,0.895,-0.108,9.737,0.13,-0.041,0.004
1763770428.9982207,sensor1,0,0,0,0.9,-0.101,9.759,0.129,-0.041,0.004
1763770429.3376553,sensor1,0,0,0,0.898,-0.108,9.773,0.129,-0.041,0.003
1763770429.6848795,sensor1,0,1,0,0.891,-0.091,9.742,0.129,-0.041,0.003
1763770430.0093868,sensor1,0,1,0,0.907,-0.093,9.771,0.13,-0.041,0.003
1763770430.3520513,sensor1,0,1,0,0.891,-0.084,9.744,0.129,-0.041,0.005
1763770430.6755624,sensor1,0,1,0,0.91,-0.096,9.773,0.128,-0.041,0.003
1763770431.0159552,sensor1,0,1,0,0.893,-0.098,9.754,0.128,-0.041,0.003
1763770431.3341477,sensor1,0,1,0,0.905,-0.081,9.732,0.128,-0.042,0.002
1763770431.678638,sensor1,0,1,0,0.895,-0.074,9.723,0.128,-0.041,0.003
1763770431.993447,sensor1,0,1,0,0.888,-0.108,9.737,0.129,-0.041,0.003
1763770432.350652,sensor1,0,1,0,0.9,-0.103,9.776,0.129,-0.041,0.004
1763770432.6763926,sensor1,0,1,0,0.895,-0.093,9.749,0.129,-0.041,0.004
1763770433.0169582,sensor1,0,1,0,0.917,-0.113,9.761,0.129,-0.041,0.003
1763770433.341803,sensor1,0,0,0,0.876,-0.101,9.764,0.128,-0.042,0.005
1763770433.6772592,sensor1,0,0,0,0.907,-0.081,9.778,0.129,-0.042,0.003
1763770434.0114365,sensor1,0,0,0,0.895,-0.105,9.761,0.129,-0.041,0.004
1763770434.3425117,sensor1,0,0,0,0.891,-0.093,9.747,0.129,-0.041,0.004
1763770434.6688411,sensor1,0,0,0,0.893,-0.108,9.778,0.13,-0.04,0.004
1763770435.0097203,sensor1,0,0,1,0.9,-0.101,9.756,0.128,-0.041,0.004
1763770435.3262231,sensor1,0,0,1,0.893,-0.105,9.764,0.128,-0.042,0.003
1763770435.6738155,sensor1,0,0,0,0.874,-0.115,9.771,0.128,-0.041,0.004
1763770435.9935615,sensor1,0,0,0,0.898,-0.101,9.747,0.13,-0.041,0.003
1763770436.3312662,sensor1,0,0,0,0.893,-0.122,9.754,0.129,-0.041,0.004
1763770436.6692781,sensor1,0,0,0,0.91,-0.108,9.759,0.129,-0.042,0.003
1763770437.0045555,sensor1,1,0,0,0.893,-0.115,9.749,0.129,-0.039,0.003
1763770437.3259368,sensor1,1,0,0,0.874,-0.105,9.783,0.128,-0.039,0.003
1763770437.6626828,sensor1,0,0,0,0.91,-0.101,9.756,0.129,-0.041,0.004
1763770437.9946055,sensor1,0,0,0,0.879,-0.11,9.732,0.13,-0.04,0.003
1763770438.3362098,sensor1,0,0,0,0.898,-0.096,9.749,0.13,-0.041,0.004
1763770438.6445327,sensor1,0,0,0,0.883,-0.108,9.744,0.129,-0.041,0.003
1763770438.9888241,sensor1,0,0,0,0.883,-0.091,9.74,0.129,-0.041,0.003
1763770439.3285146,sensor1,0,0,0,0.898,-0.084,9.749,0.13,-0.041,0.003
1763770439.666204,sensor1,0,0,0,0.881,-0.079,9.735,0.129,-0.041,0.003
1763770439.9841375,sensor1,0,0,0,0.912,-0.101,9.771,0.13,-0.042,0.003
1763770440.3346932,sensor1,0,0,0,0.905,-0.084,9.756,0.13,-0.041,0.004
1763770440.6588757,sensor1,0,0,0,0.915,-0.101,9.756,0.128,-0.041,0.002
1763770440.987655,sensor1,0,0,0,0.898,-0.11,9.766,0.128,-0.041,0.003
1763770441.3103278,sensor1,0,0,0,0.895,-0.108,9.728,0.129,-0.041,0.003
1763770441.6430879,sensor1,0,0,0,0.903,-0.093,9.742,0.128,-0.041,0.003
1763770441.9759674,sensor1,0,0,0,0.907,-0.096,9.783,0.129,-0.041,0.004
1763770442.328335,sensor1,0,0,0,0.883,-0.093,9.747,0.129,-0.041,0.003
1763770442.6401765,sensor1,0,0,0,0.905,-0.093,9.764,0.129,-0.041,0.004
1763770442.996009,sensor1,0,0,0,0.907,-0.101,9.773,0.129,-0.041,0.003
1763770443.307162,sensor1,0,0,0,0.905,-0.105,9.783,0.13,-0.041,0.003
1763770443.658776,sensor1,0,0,0,0.907,-0.108,9.744,0.13,-0.041,0.004
1763770443.9715567,sensor1,0,0,0,0.905,-0.103,9.761,0.129,-0.041,0.004
1763770444.326129,sensor1,0,0,0,0.898,-0.098,9.735,0.129,-0.041,0.003
1763770444.6368816,sensor1,0,0,0,0.891,-0.086,9.778,0.13,-0.042,0.003
