runtime_s,timestamp_us,timestamp_str,ir1,ir2,ir3,ir4,ir5,ir6,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
6.863194,6536054,6:536:054,0,0,0,0,0,1,0.979,-0.019,9.713,0.130,-0.041,0.004
6.966719,6636648,6:636:648,0,0,0,0,0,1,0.979,-0.019,9.713,0.130,-0.041,0.004
7.063467,6736051,6:736:051,0,0,0,0,0,1,0.979,-0.019,9.713,0.130,-0.041,0.004
7.163223,6836036,6:836:036,0,0,0,0,0,1,0.958,-0.024,9.735,0.130,-0.041,0.004
7.264569,6936040,6:936:040,0,0,0,0,0,0,0.958,-0.024,9.735,0.130,-0.041,0.004
7.363309,7036064,7:036:064,0,0,0,0,0,0,0.958,-0.024,9.735,0.130,-0.041,0.004
7.463762,7136051,7:136:051,0,0,0,0,0,0,0.958,-0.024,9.735,0.130,-0.041,0.004
7.555948,7236056,7:236:056,0,0,0,0,0,0,0.979,-0.012,9.701,0.129,-0.041,0.003
7.663162,7336050,7:336:050,0,0,0,0,0,0,0.979,-0.012,9.701,0.129,-0.041,0.003
7.763151,7436068,7:436:068,0,0,0,0,0,0,0.979,-0.012,9.701,0.129,-0.041,0.003
7.864256,7536054,7:536:054,0,0,0,0,0,0,0.979,-0.012,9.701,0.129,-0.041,0.003
7.962981,7636044,7:636:044,0,0,0,0,0,0,0.974,-0.048,9.699,0.129,-0.041,0.005
8.063171,7736069,7:736:069,0,0,0,0,0,0,0.974,-0.048,9.699,0.129,-0.041,0.005
8.163137,7836068,7:836:068,0,0,0,0,0,0,0.974,-0.048,9.699,0.129,-0.041,0.005
8.266588,7936056,7:936:056,0,0,0,0,0,0,0.974,-0.048,9.699,0.129,-0.041,0.005
8.363147,8036032,8:036:032,0,0,0,0,0,0,0.943,-0.019,9.639,0.129,-0.041,0.003
8.464010,8136062,8:136:062,0,0,0,0,0,0,0.943,-0.019,9.639,0.129,-0.041,0.003
8.563123,8236036,8:236:036,0,0,0,0,0,0,0.943,-0.019,9.639,0.129,-0.041,0.003
8.663010,8336043,8:336:043,0,0,0,0,0,0,0.943,-0.019,9.639,0.129,-0.041,0.003
