timestamp,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1763771009.9832153,sensor1,0,0,0,0.939,-0.117,9.725,0.129,-0.041,0.003
1763771010.3118649,sensor1,0,0,0,0.929,-0.089,9.744,0.129,-0.041,0.004
1763771010.6506999,sensor1,0,0,0,0.927,-0.117,9.73,0.129,-0.041,0.003
1763771010.9831076,sensor1,0,0,0,0.943,-0.117,9.742,0.129,-0.042,0.004
1763771011.2998161,sensor1,0,0,0,0.946,-0.117,9.754,0.129,-0.04,0.003
1763771011.648272,sensor1,0,0,0,0.922,-0.108,9.747,0.129,-0.041,0.004
1763771011.9734437,sensor1,0,0,0,0.915,-0.108,9.752,0.129,-0.041,0.004
1763771012.3005576,sensor1,0,0,0,0.955,-0.096,9.764,0.129,-0.042,0.004
1763771013.294842,sensor1,0,0,0,0.934,-0.086,9.754,0.129,-0.041,0.003
1763771013.6435738,sensor1,0,0,0,0.936,-0.101,9.74,0.129,-0.041,0.004
1763771013.97155,sensor1,0,0,0,0.927,-0.108,9.771,0.129,-0.041,0.004
1763771014.2968273,sensor1,0,0,0,0.922,-0.096,9.73,0.129,-0.041,0.003
1763771014.6421876,sensor1,0,0,0,0.927,-0.091,9.756,0.13,-0.041,0.004
1763771014.9734857,sensor1,0,0,0,0.943,-0.101,9.742,0.129,-0.041,0.003
1763771016.9630585,sensor1,0,0,0,0.943,-0.122,9.773,0.129,-0.041,0.004
