timestamp,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1763769395.5938897,sensor1,0,1,0,0.9,-0.091,9.754,0.13,-0.042,0.003
1763769395.594884,sensor1,0,1,0,0.919,-0.091,9.756,0.13,-0.041,0.004
1763769395.5968783,sensor1,0,1,0,0.886,-0.113,9.783,0.128,-0.04,0.004
1763769395.598337,sensor1,0,1,0,0.881,-0.096,9.766,0.128,-0.042,0.004
1763769395.9115834,sensor1,0,1,0,0.898,-0.108,9.768,0.13,-0.041,0.004
1763769396.2300365,sensor1,0,1,0,0.907,-0.115,9.74,0.129,-0.041,0.004
1763769396.5735009,sensor1,0,1,0,0.905,-0.101,9.776,0.129,-0.042,0.003
1763769396.8865452,sensor1,0,1,0,0.888,-0.091,9.78,0.128,-0.041,0.003
1763769397.2384222,sensor1,0,1,0,0.881,-0.12,9.761,0.129,-0.041,0.003
1763769397.5608451,sensor1,0,0,0,0.903,-0.079,9.759,0.129,-0.042,0.004
1763769397.9008164,sensor1,0,0,0,0.903,-0.089,9.749,0.129,-0.041,0.004
1763769398.2122827,sensor1,0,0,0,0.905,-0.113,9.754,0.129,-0.041,0.003
1763769398.5431612,sensor1,0,0,0,0.903,-0.096,9.759,0.13,-0.041,0.003
