time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.015,sender2,0,0,0,,,,,,
2.019,sender2,0,0,0,,,,,,
2.022,sender2,0,0,0,,,,,,
2.066,sender2,0,0,0,,,,,,
2.400,sender2,0,0,0,,,,,,
2.733,sender2,0,0,0,,,,,,
3.067,sender2,0,0,0,,,,,,
3.399,sender2,0,0,0,,,,,,
3.734,sender2,0,0,0,,,,,,
4.059,sender2,0,0,0,,,,,,
4.396,sender2,0,0,0,,,,,,
4.713,sender2,0,0,0,,,,,,
5.046,sender2,0,0,0,,,,,,
5.381,sender2,0,0,0,,,,,,
5.712,sender2,0,0,0,,,,,,
6.045,sender2,0,0,0,,,,,,
6.378,sender2,0,0,0,,,,,,
6.720,sender2,0,0,0,,,,,,
7.041,sender2,0,0,0,,,,,,
7.363,sender2,0,0,0,,,,,,
7.703,sender2,0,0,1,,,,,,
8.039,sender2,0,0,1,,,,,,
8.372,sender2,0,0,0,,,,,,
8.689,sender2,0,0,0,,,,,,
9.029,sender2,0,1,0,,,,,,
9.364,sender2,0,1,0,,,,,,
9.699,sender2,0,0,0,,,,,,
10.031,sender2,0,0,0,,,,,,
10.374,sender2,0,0,0,,,,,,
10.707,sender2,0,0,0,,,,,,
11.043,sender2,0,0,0,,,,,,
11.377,sender2,0,0,0,,,,,,
11.704,sender2,0,0,0,,,,,,
12.012,sender2,0,0,0,,,,,,
12.333,sender2,0,0,0,,,,,,
12.668,sender2,0,0,0,,,,,,
13.036,sender2,0,0,0,,,,,,
13.373,sender2,0,0,0,,,,,,
13.704,sender2,0,0,0,,,,,,
14.039,sender2,0,0,0,,,,,,
14.362,sender2,0,0,0,,,,,,
14.700,sender2,0,0,0,,,,,,
15.041,sender2,0,0,0,,,,,,
15.348,sender2,0,0,0,,,,,,
15.481,sender2,0,0,0,,,,,,
15.608,sender2,0,0,0,,,,,,
