timestamp,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1763771276.8971992,sensor1,0,0,0,0.931,-0.084,9.72,0.129,-0.041,0.004
1763771276.9025607,sensor1,0,0,0,0.922,-0.101,9.783,0.129,-0.04,0.004
1763771276.9046986,sensor1,0,0,0,0.936,-0.098,9.764,0.129,-0.04,0.004
1763771276.9046986,sensor1,0,0,0,0.941,-0.115,9.749,0.129,-0.041,0.004
1763771277.1327705,sensor1,0,0,0,0.95,-0.093,9.754,0.129,-0.041,0.003
1763771277.4673471,sensor1,0,0,0,0.936,-0.098,9.752,0.129,-0.041,0.004
1763771277.8004682,sensor1,0,0,0,0.953,-0.103,9.737,0.13,-0.041,0.004
1763771278.1286187,sensor1,0,0,0,0.903,-0.103,9.754,0.129,-0.041,0.004
1763771278.450292,sensor1,0,0,0,0.948,-0.113,9.744,0.129,-0.041,0.004
1763771278.7945166,sensor1,0,0,0,0.955,-0.11,9.728,0.129,-0.04,0.003
1763771279.113987,sensor1,0,0,0,0.941,-0.098,9.764,0.13,-0.041,0.003
1763771279.4518478,sensor1,0,0,0,0.955,-0.091,9.749,0.129,-0.041,0.004
1763771279.7966335,sensor1,0,1,0,0.936,-0.115,9.737,0.13,-0.04,0.003
1763771280.1256256,sensor1,0,0,0,0.95,-0.081,9.752,0.13,-0.041,0.004
1763771280.4521894,sensor1,0,0,0,0.946,-0.103,9.752,0.13,-0.041,0.004
1763771280.78226,sensor1,0,0,0,0.948,-0.091,9.735,0.129,-0.041,0.004
1763771281.1104138,sensor1,0,1,0,0.946,-0.108,9.756,0.13,-0.04,0.004
1763771281.4561665,sensor1,0,0,0,0.931,-0.096,9.787,0.128,-0.042,0.004
1763771281.7903697,sensor1,0,1,0,0.931,-0.081,9.752,0.129,-0.041,0.003
1763771282.1209216,sensor1,0,1,0,0.936,-0.11,9.778,0.129,-0.041,0.003
1763771282.4565258,sensor1,0,1,0,0.922,-0.089,9.776,0.13,-0.041,0.003
1763771282.7910469,sensor1,0,1,0,0.948,-0.103,9.725,0.129,-0.042,0.003
1763771283.122247,sensor1,0,1,0,0.917,-0.103,9.761,0.129,-0.041,0.003
1763771283.4556217,sensor1,0,1,0,0.929,-0.101,9.725,0.129,-0.041,0.004
1763771283.7873316,sensor1,0,1,0,0.936,-0.093,9.752,0.129,-0.04,0.004
1763771284.1213348,sensor1,0,1,0,0.955,-0.101,9.766,0.13,-0.041,0.004
1763771284.445623,sensor1,0,0,0,0.924,-0.101,9.766,0.129,-0.04,0.004
1763771284.7875297,sensor1,0,0,0,0.95,-0.108,9.742,0.13,-0.041,0.003
1763771285.0892172,sensor1,0,0,0,0.941,-0.089,9.747,0.13,-0.04,0.003
1763771285.4112275,sensor1,0,0,0,0.934,-0.105,9.759,0.129,-0.04,0.003
1763771285.7581704,sensor1,0,0,0,0.95,-0.098,9.756,0.13,-0.041,0.003
1763771286.108623,sensor1,0,0,0,0.95,-0.113,9.737,0.13,-0.04,0.004
1763771286.4478407,sensor1,0,0,0,0.941,-0.113,9.785,0.13,-0.04,0.003
1763771286.7763095,sensor1,0,0,0,0.912,-0.086,9.761,0.13,-0.041,0.003
1763771287.0629537,sensor1,0,0,0,0.965,-0.086,9.759,0.13,-0.041,0.003
1763771287.4030023,sensor1,0,0,0,0.939,-0.113,9.783,0.129,-0.04,0.003
1763771287.73727,sensor1,1,0,0,0.941,-0.089,9.749,0.129,-0.039,0.003
1763771288.0722995,sensor1,1,0,0,0.948,-0.101,9.766,0.128,-0.041,0.004
1763771288.3961906,sensor1,1,0,0,0.943,-0.091,9.752,0.129,-0.04,0.005
1763771288.7332923,sensor1,0,0,0,0.941,-0.096,9.723,0.129,-0.04,0.004
1763771289.0765288,sensor1,0,0,0,0.941,-0.117,9.744,0.129,-0.042,0.003
1763771289.443562,sensor1,0,0,0,0.941,-0.108,9.773,0.13,-0.04,0.004
1763771289.777701,sensor1,0,0,0,0.95,-0.105,9.773,0.13,-0.04,0.004
1763771290.096658,sensor1,0,0,0,0.919,-0.105,9.776,0.129,-0.041,0.005
1763771290.439877,sensor1,0,0,0,0.939,-0.098,9.787,0.129,-0.04,0.003
1763771290.778993,sensor1,0,0,1,0.931,-0.113,9.764,0.129,-0.041,0.004
1763771291.1105745,sensor1,0,0,1,0.943,-0.084,9.778,0.128,-0.041,0.004
1763771291.442526,sensor1,0,0,0,0.924,-0.103,9.735,0.129,-0.041,0.004
1763771291.7677097,sensor1,0,0,0,0.943,-0.098,9.737,0.129,-0.042,0.005
1763771292.109288,sensor1,0,0,0,0.936,-0.098,9.744,0.13,-0.041,0.004
1763771292.4338026,sensor1,0,0,0,0.927,-0.12,9.795,0.129,-0.041,0.005
1763771292.766448,sensor1,0,0,0,0.934,-0.103,9.735,0.13,-0.041,0.003
