time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
11.476,sender2,0,0,0,,,,,,
11.674,sender2,0,0,0,,,,,,
11.719,sender1,0,0,0,0.939,-0.089,9.768,0.129,-0.041,0.003
12.006,sender2,0,0,0,,,,,,
12.035,sender1,0,0,1,0.934,-0.098,9.740,0.128,-0.041,0.003
12.327,sender2,0,0,0,,,,,,
12.353,sender1,0,0,1,0.941,-0.098,9.735,0.129,-0.041,0.003
12.462,sender2,0,0,0,,,,,,
12.474,sender1,0,0,1,0.946,-0.115,9.740,0.128,-0.041,0.004
12.586,sender2,0,0,0,,,,,,
12.606,sender1,0,0,1,0.948,-0.108,9.742,0.129,-0.040,0.003
12.716,sender2,0,0,0,,,,,,
12.732,sender1,0,0,1,0.927,-0.113,9.744,0.128,-0.041,0.003
12.837,sender2,0,0,0,,,,,,
12.858,sender1,0,0,1,0.929,-0.072,9.752,0.129,-0.041,0.005
12.967,sender2,0,0,0,,,,,,
12.980,sender1,0,0,0,0.936,-0.093,9.754,0.129,-0.040,0.004
13.092,sender2,0,0,0,,,,,,
13.102,sender1,0,0,0,0.948,-0.091,9.766,0.129,-0.041,0.004
13.219,sender2,0,0,0,,,,,,
13.235,sender1,0,0,0,0.950,-0.093,9.756,0.129,-0.041,0.004
13.337,sender2,0,0,0,,,,,,
13.353,sender1,0,0,0,0.943,-0.103,9.780,0.129,-0.041,0.003
13.469,sender2,0,0,0,,,,,,
13.469,sender1,0,0,0,0.915,-0.108,9.711,0.129,-0.041,0.003
13.586,sender2,0,0,0,,,,,,
13.602,sender1,0,0,0,0.924,-0.096,9.771,0.129,-0.041,0.004
13.721,sender2,0,0,0,,,,,,
13.738,sender1,0,0,0,0.931,-0.108,9.718,0.129,-0.041,0.004
13.847,sender2,0,0,0,,,,,,
13.861,sender1,0,0,0,0.950,-0.110,9.747,0.129,-0.041,0.003
13.970,sender2,0,0,1,,,,,,
13.986,sender1,0,0,0,0.948,-0.105,9.768,0.130,-0.040,0.003
14.097,sender2,0,0,1,,,,,,
14.112,sender1,0,0,0,0.910,-0.103,9.756,0.128,-0.041,0.004
14.223,sender2,0,0,1,,,,,,
14.237,sender1,0,0,0,0.934,-0.110,9.732,0.129,-0.041,0.003
14.350,sender2,0,0,1,,,,,,
14.361,sender1,0,0,0,0.929,-0.084,9.744,0.130,-0.041,0.003
14.486,sender2,0,0,1,,,,,,
14.667,sender1,0,0,0,0.948,-0.098,9.747,0.130,-0.041,0.003
14.819,sender2,0,0,0,,,,,,
15.002,sender1,0,0,0,0.898,-0.098,9.735,0.129,-0.041,0.004
15.152,sender2,0,0,0,,,,,,
15.334,sender1,0,0,0,0.915,-0.105,9.761,0.128,-0.040,0.003
15.486,sender2,0,0,0,,,,,,
15.668,sender1,0,0,0,0.939,-0.101,9.783,0.129,-0.042,0.004
15.827,sender2,0,0,0,,,,,,
16.001,sender1,0,0,0,0.948,-0.101,9.764,0.128,-0.041,0.003
16.152,sender2,0,1,0,,,,,,
16.336,sender1,0,0,0,0.958,-0.108,9.744,0.128,-0.041,0.004
16.485,sender2,0,1,0,,,,,,
16.668,sender1,0,0,0,0.941,-0.098,9.740,0.128,-0.041,0.003
16.826,sender2,0,1,0,,,,,,
17.003,sender1,0,0,0,0.931,-0.093,9.737,0.130,-0.040,0.004
17.158,sender2,0,0,0,,,,,,
17.335,sender1,0,0,0,0.943,-0.089,9.759,0.128,-0.041,0.003
17.486,sender2,0,0,0,,,,,,
17.661,sender1,0,0,0,0.922,-0.093,9.744,0.129,-0.041,0.004
17.821,sender2,0,0,0,,,,,,
17.996,sender1,0,0,0,0.917,-0.105,9.754,0.129,-0.041,0.004
18.151,sender2,0,0,0,,,,,,
18.330,sender1,0,0,0,0.924,-0.098,9.732,0.129,-0.041,0.003
18.485,sender2,0,0,0,,,,,,
18.663,sender1,0,0,0,0.927,-0.103,9.747,0.128,-0.041,0.004
18.818,sender2,1,0,0,,,,,,
18.994,sender1,0,0,0,0.934,-0.096,9.747,0.129,-0.042,0.004
19.151,sender2,1,0,0,,,,,,
19.327,sender1,0,0,0,0.943,-0.086,9.730,0.129,-0.041,0.003
19.484,sender2,1,0,0,,,,,,
19.661,sender1,0,0,0,0.929,-0.117,9.744,0.130,-0.041,0.003
19.816,sender2,0,0,0,,,,,,
19.994,sender1,0,0,0,0.948,-0.115,9.764,0.129,-0.041,0.003
20.116,sender2,0,0,0,,,,,,
20.134,sender1,0,0,0,0.927,-0.105,9.756,0.129,-0.041,0.003
20.241,sender2,0,0,0,,,,,,
20.257,sender1,0,0,0,0.929,-0.101,9.761,0.129,-0.040,0.004
20.366,sender2,0,0,0,,,,,,
20.385,sender1,0,0,0,0.931,-0.103,9.759,0.130,-0.041,0.003
20.492,sender2,0,0,0,,,,,,
20.514,sender1,0,0,0,0.924,-0.108,9.732,0.128,-0.041,0.003
20.618,sender2,0,0,0,,,,,,
20.643,sender1,0,0,0,0.939,-0.096,9.742,0.128,-0.042,0.005
20.742,sender2,0,0,0,,,,,,
20.747,sender1,0,0,0,0.939,-0.086,9.756,0.130,-0.041,0.004
20.869,sender2,0,0,0,,,,,,
20.873,sender1,0,0,0,0.917,-0.103,9.768,0.128,-0.041,0.003
20.994,sender2,0,0,0,,,,,,
21.012,sender1,0,0,0,0.941,-0.105,9.754,0.130,-0.041,0.004
21.120,sender2,0,0,0,,,,,,
21.139,sender1,0,0,0,0.939,-0.096,9.766,0.129,-0.041,0.005
21.243,sender2,0,0,0,,,,,,
21.260,sender1,0,0,0,0.917,-0.098,9.771,0.129,-0.039,0.005
21.370,sender2,0,0,0,,,,,,
21.389,sender1,0,0,0,0.929,-0.089,9.756,0.130,-0.041,0.004
21.497,sender2,0,0,0,,,,,,
21.513,sender1,0,0,0,0.922,-0.077,9.723,0.130,-0.041,0.004
21.622,sender2,0,0,0,,,,,,
21.639,sender1,0,0,0,0.931,-0.086,9.754,0.130,-0.041,0.003
21.747,sender2,0,0,0,,,,,,
21.765,sender1,0,0,0,0.936,-0.093,9.780,0.129,-0.040,0.004
21.873,sender2,0,0,0,,,,,,
21.886,sender1,0,0,0,0.907,-0.098,9.773,0.129,-0.040,0.004
22.005,sender2,0,0,0,,,,,,
22.021,sender1,0,0,0,0.931,-0.110,9.737,0.128,-0.041,0.003
22.124,sender2,0,0,0,,,,,,
22.142,sender1,0,0,0,0.943,-0.110,9.754,0.129,-0.041,0.004
22.250,sender2,0,0,0,,,,,,
22.263,sender1,0,0,0,0.922,-0.105,9.773,0.128,-0.043,0.004
22.370,sender2,0,0,0,,,,,,
22.391,sender1,0,0,0,0.941,-0.096,9.752,0.129,-0.041,0.005
22.524,sender2,0,0,0,,,,,,
22.736,sender2,0,0,0,,,,,,
22.754,sender1,0,0,0,0.929,-0.098,9.744,0.128,-0.040,0.004
23.064,sender2,0,0,0,,,,,,
23.079,sender1,0,0,0,0.939,-0.093,9.771,0.129,-0.040,0.004
