time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.010,sender1,0,0,0,0.931,-0.105,9.756,0.129,-0.041,0.003
2.010,sender2,0,0,0,,,,,,
2.012,sender2,0,0,0,,,,,,
2.013,sender1,0,0,0,0.927,-0.086,9.768,0.129,-0.041,0.003
2.014,sender2,0,0,0,,,,,,
2.015,sender1,0,0,0,0.946,-0.101,9.759,0.128,-0.041,0.004
2.019,sender2,0,0,0,,,,,,
2.019,sender1,0,0,0,0.912,-0.108,9.759,0.130,-0.042,0.004
2.343,sender2,0,0,0,,,,,,
2.359,sender1,0,0,0,0.927,-0.105,9.771,0.128,-0.041,0.004
2.671,sender2,0,0,0,,,,,,
2.686,sender1,0,0,0,0.919,-0.086,9.740,0.129,-0.040,0.004
3.009,sender2,0,0,0,,,,,,
3.025,sender1,0,0,0,0.924,-0.093,9.761,0.129,-0.041,0.003
3.341,sender2,0,0,0,,,,,,
3.361,sender1,0,0,0,0.915,-0.093,9.773,0.129,-0.040,0.004
3.667,sender2,0,0,0,,,,,,
3.695,sender1,0,0,0,0.948,-0.093,9.742,0.130,-0.040,0.004
4.000,sender2,0,0,0,,,,,,
4.021,sender1,0,0,0,0.936,-0.081,9.747,0.129,-0.041,0.003
4.328,sender2,0,0,0,,,,,,
4.357,sender1,0,0,0,0.939,-0.089,9.742,0.129,-0.041,0.003
4.678,sender2,0,0,0,,,,,,
4.691,sender1,0,0,0,0.927,-0.101,9.764,0.128,-0.041,0.003
5.000,sender2,0,0,0,,,,,,
5.023,sender1,0,0,0,0.946,-0.108,9.759,0.128,-0.041,0.004
5.328,sender2,0,0,0,,,,,,
5.350,sender1,0,0,0,0.939,-0.093,9.783,0.128,-0.041,0.003
5.671,sender2,0,0,0,,,,,,
5.686,sender1,0,0,0,0.929,-0.101,9.725,0.129,-0.041,0.003
6.002,sender2,0,0,0,,,,,,
6.016,sender1,0,0,0,0.907,-0.098,9.761,0.128,-0.041,0.004
6.334,sender2,0,0,0,,,,,,
6.350,sender1,0,0,0,0.934,-0.098,9.716,0.129,-0.041,0.003
6.661,sender2,0,0,0,,,,,,
6.686,sender1,0,0,0,0.931,-0.098,9.773,0.129,-0.040,0.004
7.000,sender2,0,0,0,,,,,,
7.023,sender1,0,0,0,0.936,-0.091,9.759,0.129,-0.041,0.003
7.336,sender2,0,0,0,,,,,,
7.348,sender1,0,0,0,0.936,-0.091,9.773,0.129,-0.040,0.004
7.675,sender2,0,0,0,,,,,,
7.693,sender1,0,1,0,0.910,-0.110,9.756,0.128,-0.040,0.003
8.008,sender2,0,0,0,,,,,,
8.026,sender1,0,1,0,0.915,-0.081,9.744,0.128,-0.041,0.003
8.342,sender2,0,0,0,,,,,,
8.359,sender1,0,1,0,0.934,-0.110,9.728,0.129,-0.041,0.005
8.678,sender2,0,0,0,,,,,,
8.695,sender1,0,1,0,0.924,-0.086,9.759,0.129,-0.042,0.003
8.804,sender2,0,0,0,,,,,,
8.820,sender1,0,0,0,0.941,-0.101,9.759,0.129,-0.042,0.003
8.930,sender2,0,0,0,,,,,,
8.938,sender1,0,0,0,0.958,-0.093,9.740,0.129,-0.041,0.005
9.053,sender2,0,0,0,,,,,,
9.069,sender1,0,0,0,0.931,-0.081,9.749,0.129,-0.041,0.004
9.182,sender2,0,0,0,,,,,,
9.200,sender1,0,0,0,0.948,-0.110,9.802,0.128,-0.041,0.004
9.306,sender2,0,0,0,,,,,,
9.320,sender1,0,0,0,0.934,-0.079,9.766,0.129,-0.041,0.003
9.433,sender2,0,0,0,,,,,,
9.459,sender1,0,0,0,0.927,-0.108,9.716,0.129,-0.041,0.003
9.558,sender2,0,0,0,,,,,,
9.562,sender1,0,0,0,0.939,-0.091,9.747,0.129,-0.040,0.004
9.683,sender2,0,0,0,,,,,,
9.705,sender1,0,0,0,0.936,-0.101,9.764,0.129,-0.041,0.003
9.809,sender2,0,0,0,,,,,,
9.832,sender1,0,0,0,0.919,-0.108,9.747,0.130,-0.041,0.003
9.935,sender2,0,0,0,,,,,,
9.955,sender1,0,0,0,0.946,-0.089,9.761,0.129,-0.041,0.004
10.061,sender2,0,0,0,,,,,,
10.086,sender1,1,0,0,0.941,-0.115,9.778,0.128,-0.040,0.004
10.186,sender2,0,0,0,,,,,,
10.221,sender1,1,0,0,0.941,-0.113,9.771,0.130,-0.042,0.004
10.312,sender2,0,0,0,,,,,,
10.317,sender1,1,0,0,0.936,-0.105,9.759,0.129,-0.040,0.003
10.439,sender2,0,0,0,,,,,,
10.474,sender1,1,0,0,0.943,-0.098,9.759,0.130,-0.041,0.004
10.563,sender2,0,0,0,,,,,,
10.568,sender1,1,0,0,0.948,-0.113,9.768,0.128,-0.041,0.003
10.684,sender2,0,0,0,,,,,,
10.733,sender1,1,0,0,0.948,-0.115,9.771,0.129,-0.042,0.003
10.813,sender2,0,0,0,,,,,,
10.819,sender1,0,0,0,0.936,-0.089,9.761,0.129,-0.042,0.003
10.940,sender2,0,0,0,,,,,,
10.971,sender1,0,0,0,0.924,-0.103,9.742,0.129,-0.041,0.004
11.066,sender2,0,0,0,,,,,,
11.070,sender1,0,0,0,0.936,-0.105,9.752,0.129,-0.041,0.003
11.189,sender2,0,0,0,,,,,,
11.222,sender1,0,0,0,0.907,-0.110,9.759,0.130,-0.041,0.004
11.316,sender2,0,0,0,,,,,,
11.321,sender1,0,0,0,0.924,-0.093,9.773,0.129,-0.041,0.003
