time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
6.601,sender1,0,0,0,0.917,-0.084,9.790,0.128,-0.042,0.004
6.741,sender2,0,0,0,,,,,,
6.909,sender1,1,1,0,0.941,-0.103,9.752,0.129,-0.041,0.003
7.074,sender2,0,0,0,,,,,,
7.250,sender1,1,1,0,0.946,-0.103,9.754,0.129,-0.042,0.003
7.406,sender2,0,0,0,,,,,,
7.582,sender1,1,1,0,0.946,-0.113,9.771,0.128,-0.042,0.003
7.743,sender2,0,0,0,,,,,,
7.907,sender1,1,1,0,0.919,-0.098,9.785,0.129,-0.041,0.003
8.073,sender2,0,0,0,,,,,,
8.246,sender1,1,1,0,0.929,-0.091,9.732,0.129,-0.041,0.003
8.407,sender2,0,0,0,,,,,,
8.572,sender1,1,1,0,0.955,-0.113,9.742,0.130,-0.041,0.003
8.738,sender2,0,0,0,,,,,,
8.913,sender1,0,0,0,0.936,-0.101,9.740,0.128,-0.041,0.003
9.118,sender2,0,0,0,,,,,,
9.296,sender1,0,0,0,0.919,-0.091,9.749,0.130,-0.041,0.004
9.454,sender2,0,0,0,,,,,,
9.627,sender1,0,0,0,0.948,-0.108,9.785,0.128,-0.041,0.004
9.772,sender2,0,0,0,,,,,,
9.965,sender1,0,0,1,0.929,-0.079,9.744,0.130,-0.041,0.004
10.105,sender2,0,0,0,,,,,,
10.287,sender1,0,0,1,0.912,-0.079,9.740,0.129,-0.041,0.003
10.450,sender2,0,0,0,,,,,,
10.625,sender1,0,0,1,0.950,-0.084,9.761,0.128,-0.042,0.003
10.773,sender2,0,0,0,,,,,,
10.962,sender1,0,0,0,0.927,-0.069,9.773,0.129,-0.041,0.003
11.106,sender2,0,0,0,,,,,,
11.297,sender1,0,0,0,0.927,-0.110,9.756,0.130,-0.041,0.003
11.442,sender2,0,0,0,,,,,,
11.630,sender1,0,0,0,0.936,-0.110,9.776,0.129,-0.041,0.003
11.773,sender2,0,0,0,,,,,,
11.955,sender1,0,0,0,0.934,-0.093,9.752,0.129,-0.041,0.004
12.102,sender2,0,0,0,,,,,,
12.269,sender1,0,0,0,0.936,-0.091,9.716,0.128,-0.040,0.003
12.445,sender2,0,0,0,,,,,,
12.625,sender1,0,0,0,0.934,-0.117,9.768,0.129,-0.042,0.003
12.771,sender2,0,0,1,,,,,,
12.960,sender1,0,0,0,0.924,-0.096,9.754,0.129,-0.042,0.004
13.105,sender2,0,0,1,,,,,,
13.292,sender1,0,0,0,0.950,-0.105,9.742,0.129,-0.041,0.003
13.442,sender2,0,0,1,,,,,,
13.627,sender1,0,0,0,0.936,-0.098,9.740,0.129,-0.042,0.003
13.772,sender2,0,0,0,,,,,,
13.948,sender1,0,0,0,0.953,-0.096,9.771,0.130,-0.042,0.004
14.092,sender2,0,0,0,,,,,,
14.269,sender1,0,0,0,0.939,-0.101,9.761,0.129,-0.042,0.003
14.437,sender2,0,1,0,,,,,,
14.609,sender1,0,0,0,0.924,-0.086,9.761,0.128,-0.041,0.003
14.771,sender2,0,1,0,,,,,,
14.947,sender1,0,0,0,0.924,-0.122,9.744,0.129,-0.041,0.003
15.093,sender2,0,0,0,,,,,,
15.273,sender1,0,0,0,0.943,-0.103,9.723,0.130,-0.042,0.004
15.420,sender2,0,0,0,,,,,,
15.595,sender1,0,0,0,0.936,-0.091,9.747,0.129,-0.041,0.004
15.756,sender2,1,0,0,,,,,,
15.935,sender1,0,0,0,0.941,-0.101,9.771,0.129,-0.041,0.003
16.097,sender2,1,0,0,,,,,,
16.273,sender1,0,0,0,0.943,-0.086,9.761,0.129,-0.041,0.003
16.421,sender2,1,0,0,,,,,,
16.598,sender1,0,0,0,0.927,-0.093,9.759,0.128,-0.041,0.004
16.754,sender2,0,0,0,,,,,,
16.932,sender1,0,0,0,0.934,-0.108,9.773,0.129,-0.041,0.004
17.100,sender2,0,0,0,,,,,,
17.272,sender1,0,0,0,0.915,-0.103,9.752,0.129,-0.041,0.004
17.427,sender2,0,0,0,,,,,,
17.609,sender1,0,0,0,0.910,-0.093,9.766,0.130,-0.041,0.003
17.761,sender2,0,0,0,,,,,,
17.937,sender1,0,0,0,0.934,-0.086,9.747,0.129,-0.041,0.003
