time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.013,sender1,0,0,0,0.917,-0.084,9.761,0.128,-0.041,0.003
2.015,sender2,0,0,0,,,,,,
2.016,sender1,0,0,0,0.941,-0.098,9.759,0.129,-0.042,0.003
2.016,sender2,0,0,0,,,,,,
2.021,sender1,0,0,0,0.941,-0.093,9.764,0.128,-0.041,0.004
2.021,sender2,0,0,0,,,,,,
2.025,sender1,0,0,0,0.953,-0.086,9.752,0.129,-0.041,0.004
2.138,sender2,0,0,0,,,,,,
2.304,sender1,0,0,0,0.924,-0.093,9.771,0.130,-0.041,0.003
2.467,sender2,0,0,0,,,,,,
2.644,sender1,0,0,0,0.905,-0.086,9.754,0.128,-0.041,0.004
2.798,sender2,0,0,0,,,,,,
2.972,sender1,0,0,0,0.922,-0.110,9.749,0.129,-0.041,0.004
3.131,sender2,0,0,0,,,,,,
3.305,sender1,0,0,0,0.936,-0.091,9.761,0.129,-0.041,0.004
3.452,sender2,0,0,0,,,,,,
3.619,sender1,0,1,0,0.931,-0.113,9.759,0.128,-0.041,0.003
3.788,sender2,0,0,0,,,,,,
3.969,sender1,0,1,0,0.943,-0.110,9.766,0.130,-0.041,0.003
4.120,sender2,0,0,0,,,,,,
4.297,sender1,0,1,0,0.922,-0.096,9.754,0.128,-0.041,0.003
4.455,sender2,0,0,0,,,,,,
4.631,sender1,0,1,0,0.929,-0.101,9.761,0.128,-0.040,0.003
4.791,sender2,0,0,0,,,,,,
4.968,sender1,0,1,0,0.924,-0.096,9.795,0.128,-0.041,0.003
5.123,sender2,0,0,0,,,,,,
5.303,sender1,0,1,0,0.953,-0.098,9.752,0.128,-0.042,0.003
5.456,sender2,0,0,0,,,,,,
5.634,sender1,0,1,0,0.936,-0.084,9.752,0.129,-0.041,0.004
5.789,sender2,0,0,0,,,,,,
5.958,sender1,0,0,0,0.962,-0.084,9.725,0.129,-0.041,0.003
6.121,sender2,0,0,0,,,,,,
6.300,sender1,0,0,0,0.950,-0.110,9.764,0.129,-0.041,0.004
6.425,sender2,0,0,0,,,,,,
