time,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
2.021,sender1,0,0,0,0.934,-0.093,9.723,0.128,-0.041,0.004
2.022,sender2,0,0,0,,,,,,
2.024,sender1,0,0,0,0.934,-0.096,9.735,0.129,-0.041,0.003
2.024,sender2,0,0,0,,,,,,
2.027,sender1,0,0,0,0.941,-0.096,9.754,0.128,-0.041,0.004
2.027,sender2,0,0,0,,,,,,
2.030,sender1,0,0,0,0.950,-0.086,9.771,0.129,-0.041,0.004
2.157,sender2,0,0,0,,,,,,
2.328,sender1,0,0,0,0.929,-0.101,9.756,0.129,-0.041,0.004
2.490,sender2,0,0,0,,,,,,
2.668,sender1,0,0,0,0.943,-0.098,9.749,0.129,-0.041,0.004
2.818,sender2,0,0,0,,,,,,
2.995,sender1,0,0,0,0.929,-0.103,9.756,0.129,-0.041,0.003
3.148,sender2,0,0,0,,,,,,
3.323,sender1,0,0,0,0.927,-0.091,9.776,0.129,-0.041,0.003
3.479,sender2,0,0,0,,,,,,
3.656,sender1,0,1,0,0.941,-0.113,9.747,0.129,-0.042,0.004
3.811,sender2,0,0,0,,,,,,
3.990,sender1,0,1,0,0.939,-0.086,9.742,0.129,-0.042,0.004
4.145,sender2,0,0,0,,,,,,
4.323,sender1,0,0,0,0.922,-0.103,9.742,0.130,-0.041,0.005
4.448,sender2,0,0,0,,,,,,
4.633,sender1,0,0,0,0.941,-0.093,9.744,0.129,-0.041,0.004
4.788,sender2,0,0,0,,,,,,
4.966,sender1,1,0,0,0.953,-0.108,9.723,0.129,-0.039,0.003
5.124,sender2,0,0,0,,,,,,
5.296,sender1,1,0,0,0.931,-0.091,9.759,0.130,-0.042,0.003
5.450,sender2,0,0,0,,,,,,
5.627,sender1,0,0,0,0.948,-0.093,9.752,0.129,-0.041,0.004
5.812,sender2,0,0,0,,,,,,
5.990,sender1,0,0,1,0.943,-0.091,9.752,0.129,-0.041,0.004
6.140,sender2,0,0,0,,,,,,
6.318,sender1,0,0,1,0.943,-0.079,9.785,0.130,-0.041,0.004
6.463,sender2,0,0,0,,,,,,
6.645,sender1,0,0,0,0.931,-0.089,9.752,0.128,-0.041,0.004
6.796,sender2,0,0,0,,,,,,
6.980,sender1,0,0,0,0.919,-0.113,9.761,0.129,-0.042,0.004
7.132,sender2,0,0,0,,,,,,
7.311,sender1,0,0,0,0.917,-0.093,9.759,0.129,-0.041,0.003
7.463,sender2,0,0,0,,,,,,
7.643,sender1,0,0,0,0.931,-0.084,9.744,0.129,-0.041,0.004
7.806,sender2,0,0,1,,,,,,
7.981,sender1,0,0,0,0.927,-0.091,9.787,0.130,-0.041,0.003
8.138,sender2,0,0,1,,,,,,
8.310,sender1,0,0,0,0.946,-0.103,9.747,0.129,-0.040,0.004
8.467,sender2,0,0,0,,,,,,
8.645,sender1,0,0,0,0.931,-0.108,9.756,0.129,-0.041,0.003
8.762,sender2,0,0,0,,,,,,
8.946,sender1,0,0,0,0.936,-0.091,9.756,0.128,-0.041,0.002
9.098,sender2,0,1,0,,,,,,
9.261,sender1,0,0,0,0.936,-0.093,9.759,0.129,-0.041,0.005
9.363,sender2,0,1,0,,,,,,
9.543,sender1,0,0,0,0.924,-0.093,9.754,0.129,-0.041,0.003
9.662,sender1,0,0,0,0.943,-0.096,9.728,0.130,-0.041,0.003
9.792,sender2,0,0,0,,,,,,
9.969,sender1,0,0,0,0.931,-0.084,9.716,0.128,-0.041,0.004
10.135,sender2,0,0,0,,,,,,
10.310,sender1,0,0,0,0.929,-0.091,9.783,0.129,-0.040,0.005
10.463,sender2,1,0,0,,,,,,
10.638,sender1,0,0,0,0.931,-0.108,9.749,0.129,-0.041,0.004
10.796,sender2,1,0,0,,,,,,
10.974,sender1,0,0,0,0.936,-0.093,9.764,0.129,-0.041,0.003
11.125,sender2,0,0,0,,,,,,
11.293,sender1,0,0,0,0.919,-0.105,9.742,0.130,-0.040,0.003
11.462,sender2,0,0,0,,,,,,
11.633,sender1,0,0,0,0.939,-0.091,9.754,0.129,-0.041,0.005
11.795,sender2,0,0,0,,,,,,
11.980,sender1,0,0,0,0.924,-0.079,9.737,0.128,-0.039,0.004
12.133,sender2,0,0,0,,,,,,
12.305,sender1,0,0,0,0.924,-0.108,9.764,0.130,-0.040,0.003
12.462,sender2,0,0,0,,,,,,
12.645,sender1,0,0,0,0.931,-0.110,9.756,0.128,-0.041,0.004
12.796,sender2,0,0,0,,,,,,
12.979,sender1,0,0,0,0.931,-0.110,9.713,0.129,-0.042,0.004
13.144,sender2,0,0,0,,,,,,
13.320,sender1,0,0,0,0.943,-0.108,9.771,0.129,-0.041,0.003
13.447,sender2,0,0,0,,,,,,
13.636,sender1,0,0,0,0.936,-0.091,9.749,0.130,-0.041,0.004
13.796,sender2,0,0,0,,,,,,
13.972,sender1,0,0,0,0.934,-0.089,9.776,0.129,-0.040,0.004
