timestamp,sensor_id,IR1,IR2,IR3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1763771377.7964573,sensor1,0,0,0,0.927,-0.103,9.735,0.128,-0.041,0.003
1763771379.1289372,sensor1,0,0,0,0.941,-0.091,9.771,0.129,-0.042,0.003
1763771385.7847626,sensor1,0,0,0,0.917,-0.093,9.728,0.129,-0.04,0.004
1763771390.7097626,sensor1,0,0,0,0.946,-0.132,9.735,0.129,-0.04,0.004
1763771391.0417738,sensor1,0,0,0,0.934,-0.105,9.747,0.128,-0.042,0.005
1763771391.3706114,sensor1,0,0,0,0.934,-0.091,9.776,0.128,-0.041,0.004
1763771391.7084572,sensor1,0,0,0,0.936,-0.079,9.756,0.129,-0.04,0.003
1763771392.0425203,sensor1,0,0,0,0.948,-0.084,9.766,0.128,-0.041,0.004
1763771392.368733,sensor1,0,0,0,0.936,-0.12,9.74,0.129,-0.042,0.003
1763771392.7103322,sensor1,0,0,0,0.939,-0.101,9.742,0.128,-0.04,0.004
1763771393.041837,sensor1,0,0,0,0.948,-0.093,9.78,0.128,-0.041,0.004
1763771393.365904,sensor1,0,0,0,0.922,-0.108,9.749,0.129,-0.041,0.003
1763771393.7012858,sensor1,0,0,0,0.927,-0.103,9.752,0.129,-0.04,0.004
1763771394.0359225,sensor1,0,0,0,0.95,-0.103,9.773,0.128,-0.041,0.004
1763771394.3602118,sensor1,0,0,0,0.95,-0.091,9.768,0.129,-0.041,0.004
1763771394.7001646,sensor1,0,0,0,0.97,-0.101,9.742,0.128,-0.04,0.004
1763771395.0381246,sensor1,0,0,0,0.931,-0.096,9.761,0.13,-0.041,0.004
1763771395.3678954,sensor1,0,0,0,0.912,-0.086,9.768,0.128,-0.041,0.004
1763771395.7009628,sensor1,0,0,0,0.939,-0.11,9.766,0.128,-0.041,0.004
1763771396.0383809,sensor1,0,0,0,0.936,-0.098,9.766,0.13,-0.04,0.003
1763771396.36257,sensor1,0,0,0,0.936,-0.12,9.766,0.128,-0.041,0.003
1763771396.6939073,sensor1,0,0,0,0.912,-0.089,9.761,0.13,-0.041,0.003
1763771397.0283635,sensor1,0,0,0,0.946,-0.124,9.728,0.13,-0.041,0.003
